week,startCode,destCode,amount
1,KABQ,KJFK,5
1,KATL,KBOS,8
1,KATL,KFLL,15
1,KATL,KJFK,10
1,KAUS,KBOS,8
1,KAUS,KFLL,4
1,KAUS,KJFK,10
1,KBNA,KBOS,5
1,KBNA,KFLL,5
1,KBOS,KATL,8
1,KBOS,KAUS,5
1,KBOS,KBNA,5
1,KBOS,KBOS,15
1,KBOS,KBUF,15
1,KBOS,KBWI,14
1,KBOS,KCLE,2
1,KBOS,KCLT,9
1,KBOS,KDCA,34
1,KBOS,KDEN,2
1,KBOS,KDFW,5
1,KBOS,KDTW,12
1,KBOS,KEWR,26
1,KBOS,KFLL,35
1,KBOS,KIAH,5
1,KBOS,KJFK,20
1,KBOS,KLAS,12
1,KBOS,KLAX,19
1,KBOS,KLGA,24
1,KBOS,KMCO,3
1,KBOS,KMSP,8
1,KBOS,KORD,12
1,KBOS,KPHL,34
1,KBOS,KPHX,5
1,KBOS,KRDU,16
1,KBOS,KROC,5
1,KBOS,KRSW,20
1,KBOS,KSAN,9
1,KBOS,KSEA,9
1,KBOS,KSFB,1
1,KBOS,KSFO,20
1,KBOS,KSJC,4
1,KBOS,KSRQ,2
1,KBOS,KTPA,20
1,KBUF,KBOS,15
1,KBUF,KFLL,5
1,KBUF,KJFK,30
1,KBUF,KLAX,4
1,KBUF,KMCO,1
1,KBWI,KBOS,14
1,KCLE,KBOS,13
1,KCLE,KFLL,5
1,KCLT,KBOS,15
1,KDCA,KBOS,35
1,KDCA,KDCA,3
1,KDCA,KFLL,23
1,KDCA,KMCO,1
1,KDCA,KRSW,5
1,KDEN,KBOS,8
1,KDEN,KJFK,5
1,KDFW,KBOS,5
1,KDTW,KBOS,13
1,KEWR,KBOS,25
1,KEWR,KEWR,3
1,KEWR,KFLL,24
1,KEWR,KJFK,2
1,KEWR,KLGA,2
1,KEWR,KMCO,5
1,KEWR,KRSW,5
1,KEWR,KTPA,10
1,KFLL,KATL,14
1,KFLL,KAUS,2
1,KFLL,KBNA,6
1,KFLL,KBOS,41
1,KFLL,KBUF,5
1,KFLL,KBWI,1
1,KFLL,KCLE,2
1,KFLL,KDCA,23
1,KFLL,KEWR,25
1,KFLL,KFLL,5
1,KFLL,KJFK,50
1,KFLL,KLAS,5
1,KFLL,KLAX,14
1,KFLL,KLGA,20
1,KFLL,KORD,5
1,KFLL,KPHL,9
1,KFLL,KPHX,4
1,KFLL,KPVD,3
1,KFLL,KRDU,10
1,KFLL,KSAN,5
1,KFLL,KSFO,10
1,KFLL,KSLC,2
1,KIAH,KBOS,5
1,KIAH,KJFK,5
1,KJFK,KABQ,6
1,KJFK,KATL,9
1,KJFK,KAUS,7
1,KJFK,KBOS,22
1,KJFK,KBUF,30
1,KJFK,KDEN,3
1,KJFK,KEWR,2
1,KJFK,KFLL,48
1,KJFK,KIAH,5
1,KJFK,KJFK,53
1,KJFK,KLAS,5
1,KJFK,KLAX,46
1,KJFK,KLGA,1
1,KJFK,KMCO,4
1,KJFK,KMSP,1
1,KJFK,KOAK,5
1,KJFK,KONT,1
1,KJFK,KORD,5
1,KJFK,KPDX,5
1,KJFK,KPHX,5
1,KJFK,KRDU,10
1,KJFK,KROC,15
1,KJFK,KRSW,8
1,KJFK,KSAN,9
1,KJFK,KSEA,5
1,KJFK,KSFO,24
1,KJFK,KSJC,4
1,KJFK,KSMF,5
1,KJFK,KSRQ,1
1,KJFK,KTPA,18
1,KLAS,KBOS,18
1,KLAS,KFLL,5
1,KLAS,KJFK,15
1,KLAX,KBOS,19
1,KLAX,KBUF,5
1,KLAX,KFLL,12
1,KLAX,KJFK,48
1,KLGA,KBOS,22
1,KLGA,KFLL,18
1,KLGA,KJFK,1
1,KLGA,KLGA,4
1,KLGA,KMCO,2
1,KMCO,KJFK,1
1,KMSP,KBOS,9
1,KOAK,KJFK,6
1,KONT,KJFK,5
1,KORD,KBOS,13
1,KORD,KFLL,4
1,KORD,KJFK,5
1,KPDX,KJFK,5
1,KPHL,KBOS,32
1,KPHL,KFLL,9
1,KPHX,KBOS,5
1,KPHX,KFLL,5
1,KPHX,KJFK,5
1,KPIT,KBOS,5
1,KPVD,KBOS,1
1,KPVD,KFLL,2
1,KRDU,KBOS,12
1,KRDU,KFLL,7
1,KRDU,KJFK,12
1,KROC,KBOS,5
1,KROC,KJFK,15
1,KRSW,KBOS,24
1,KRSW,KDCA,5
1,KRSW,KEWR,6
1,KRSW,KJFK,10
1,KSAN,KBOS,9
1,KSAN,KFLL,3
1,KSAN,KJFK,9
1,KSEA,KBOS,9
1,KSEA,KJFK,5
1,KSFO,KBOS,20
1,KSFO,KFLL,7
1,KSFO,KJFK,24
1,KSJC,KBOS,5
1,KSJC,KJFK,5
1,KSMF,KJFK,5
1,KSRQ,KBOS,4
1,KSRQ,KJFK,6
1,KSYR,KBOS,3
1,KSYR,KJFK,6
1,KTPA,KBOS,18
1,KTPA,KEWR,10
1,KTPA,KJFK,18
2,KABQ,KJFK,4
2,KATL,KBOS,25
2,KATL,KFLL,20
2,KATL,KJFK,13
2,KAUS,KBOS,8
2,KAUS,KFLL,7
2,KAUS,KJFK,14
2,KBDL,KTPA,1
2,KBNA,KBOS,12
2,KBNA,KFLL,6
2,KBOS,KATL,25
2,KBOS,KAUS,8
2,KBOS,KBNA,11
2,KBOS,KBOS,18
2,KBOS,KBUF,25
2,KBOS,KBWI,28
2,KBOS,KCLE,2
2,KBOS,KCLT,19
2,KBOS,KDCA,91
2,KBOS,KDEN,5
2,KBOS,KDFW,11
2,KBOS,KDTW,16
2,KBOS,KEWR,43
2,KBOS,KFLL,37
2,KBOS,KIAH,7
2,KBOS,KJFK,38
2,KBOS,KLAS,20
2,KBOS,KLAX,24
2,KBOS,KLGA,36
2,KBOS,KMCO,1
2,KBOS,KMSP,17
2,KBOS,KORD,30
2,KBOS,KPHL,49
2,KBOS,KPHX,5
2,KBOS,KPIT,1
2,KBOS,KRDU,34
2,KBOS,KROC,7
2,KBOS,KRSW,25
2,KBOS,KSAN,14
2,KBOS,KSEA,13
2,KBOS,KSFB,1
2,KBOS,KSFO,31
2,KBOS,KSJC,1
2,KBOS,KSRQ,6
2,KBOS,KTPA,25
2,KBUF,KBOS,26
2,KBUF,KFLL,7
2,KBUF,KJFK,34
2,KBUF,KLAX,2
2,KBWI,KBOS,29
2,KCLE,KBOS,23
2,KCLE,KFLL,7
2,KCLT,KBOS,29
2,KDCA,KBOS,87
2,KDCA,KDCA,2
2,KDCA,KFLL,37
2,KDCA,KLGA,1
2,KDCA,KMCO,2
2,KDCA,KRSW,12
2,KDEN,KBOS,12
2,KDEN,KJFK,7
2,KDFW,KBOS,11
2,KDTW,KBOS,22
2,KEWR,KBOS,44
2,KEWR,KEWR,2
2,KEWR,KFLL,37
2,KEWR,KLGA,4
2,KEWR,KMCO,1
2,KEWR,KRSW,10
2,KEWR,KSFB,2
2,KEWR,KTPA,14
2,KFLL,KATL,21
2,KFLL,KAUS,2
2,KFLL,KBNA,7
2,KFLL,KBOS,35
2,KFLL,KBUF,7
2,KFLL,KCLE,4
2,KFLL,KDCA,33
2,KFLL,KEWR,35
2,KFLL,KFLL,15
2,KFLL,KJFK,53
2,KFLL,KLAS,11
2,KFLL,KLAX,24
2,KFLL,KLGA,25
2,KFLL,KORD,7
2,KFLL,KPHL,12
2,KFLL,KPHX,7
2,KFLL,KPVD,7
2,KFLL,KRDU,14
2,KFLL,KSAN,3
2,KFLL,KSFO,17
2,KFLL,KSLC,3
2,KFLL,KTPA,1
2,KIAH,KBOS,5
2,KIAH,KJFK,7
2,KJFK,KABQ,4
2,KJFK,KATL,14
2,KJFK,KAUS,10
2,KJFK,KBOS,41
2,KJFK,KBUF,35
2,KJFK,KDEN,1
2,KJFK,KEWR,1
2,KJFK,KFLL,49
2,KJFK,KIAH,7
2,KJFK,KJFK,48
2,KJFK,KLAS,16
2,KJFK,KLAX,52
2,KJFK,KMCO,1
2,KJFK,KOAK,4
2,KJFK,KONT,2
2,KJFK,KORD,13
2,KJFK,KPDX,4
2,KJFK,KPHX,7
2,KJFK,KRDU,13
2,KJFK,KROC,20
2,KJFK,KRSW,12
2,KJFK,KSAN,11
2,KJFK,KSEA,8
2,KJFK,KSFB,1
2,KJFK,KSFO,36
2,KJFK,KSJC,4
2,KJFK,KSMF,4
2,KJFK,KSRQ,7
2,KJFK,KSYR,1
2,KJFK,KTPA,18
2,KLAS,KBOS,27
2,KLAS,KFLL,10
2,KLAS,KJFK,27
2,KLAX,KBOS,23
2,KLAX,KBUF,4
2,KLAX,KFLL,20
2,KLAX,KJFK,63
2,KLAX,KMCO,1
2,KLGA,KBOS,35
2,KLGA,KDCA,1
2,KLGA,KFLL,28
2,KLGA,KJFK,1
2,KLGA,KLGA,2
2,KLGA,KMCO,1
2,KLGA,KSFB,1
2,KMCO,KBOS,1
2,KMSP,KBOS,20
2,KOAK,KJFK,4
2,KONT,KJFK,6
2,KORD,KBOS,28
2,KORD,KFLL,7
2,KORD,KJFK,13
2,KORD,KSFO,1
2,KPDX,KJFK,4
2,KPHL,KBOS,45
2,KPHL,KFLL,12
2,KPHX,KBOS,7
2,KPHX,KFLL,6
2,KPHX,KJFK,7
2,KPIT,KBOS,7
2,KPVD,KFLL,1
2,KPVD,KSFB,1
2,KRDU,KBOS,28
2,KRDU,KFLL,11
2,KRDU,KJFK,13
2,KROC,KBOS,8
2,KROC,KJFK,21
2,KRSW,KBOS,25
2,KRSW,KDCA,13
2,KRSW,KEWR,11
2,KRSW,KJFK,12
2,KSAN,KBOS,14
2,KSAN,KFLL,4
2,KSAN,KJFK,11
2,KSEA,KBOS,11
2,KSEA,KJFK,9
2,KSFO,KBOS,30
2,KSFO,KFLL,16
2,KSFO,KJFK,36
2,KSJC,KBOS,2
2,KSJC,KJFK,5
2,KSJC,KSJC,1
2,KSMF,KJFK,6
2,KSRQ,KBOS,6
2,KSRQ,KJFK,7
2,KSYR,KBOS,5
2,KSYR,KJFK,9
2,KTPA,KBOS,28
2,KTPA,KEWR,13
2,KTPA,KJFK,17
3,KABQ,KJFK,4
3,KATL,KBOS,28
3,KATL,KFLL,20
3,KATL,KJFK,14
3,KATL,KRDU,1
3,KAUS,KBOS,7
3,KAUS,KFLL,7
3,KAUS,KJFK,12
3,KAUS,KMCO,1
3,KBNA,KBOS,10
3,KBNA,KFLL,7
3,KBOS,KATL,28
3,KBOS,KAUS,7
3,KBOS,KBFI,1
3,KBOS,KBNA,10
3,KBOS,KBOS,22
3,KBOS,KBUF,13
3,KBOS,KBWI,23
3,KBOS,KCLE,6
3,KBOS,KCLT,8
3,KBOS,KDCA,91
3,KBOS,KDEN,5
3,KBOS,KDFW,11
3,KBOS,KDTW,15
3,KBOS,KEWR,49
3,KBOS,KFLL,33
3,KBOS,KIAH,7
3,KBOS,KJFK,41
3,KBOS,KLAS,16
3,KBOS,KLAX,22
3,KBOS,KLGA,37
3,KBOS,KMCO,1
3,KBOS,KMSP,16
3,KBOS,KORD,27
3,KBOS,KPHL,47
3,KBOS,KPHX,7
3,KBOS,KRDU,31
3,KBOS,KROC,7
3,KBOS,KRSW,32
3,KBOS,KSAN,17
3,KBOS,KSEA,11
3,KBOS,KSFB,5
3,KBOS,KSFO,34
3,KBOS,KSRQ,7
3,KBOS,KTPA,27
3,KBUF,KBOS,20
3,KBUF,KBUF,1
3,KBUF,KFLL,7
3,KBUF,KJFK,31
3,KBUF,KLAX,1
3,KBWI,KBOS,25
3,KCLE,KBOS,21
3,KCLE,KFLL,7
3,KCLT,KBOS,28
3,KDCA,KBOS,92
3,KDCA,KDCA,4
3,KDCA,KFLL,38
3,KDCA,KRSW,14
3,KDCA,KSFB,1
3,KDEN,KBOS,11
3,KDEN,KJFK,7
3,KDEN,KLAS,2
3,KDFW,KBOS,11
3,KDTW,KBOS,2
3,KEWR,KBOS,49
3,KEWR,KDCA,1
3,KEWR,KEWR,2
3,KEWR,KFLL,34
3,KEWR,KJFK,1
3,KEWR,KLGA,3
3,KEWR,KRSW,11
3,KEWR,KSFB,1
3,KEWR,KTPA,14
3,KFLL,KATL,19
3,KFLL,KAUS,3
3,KFLL,KBNA,6
3,KFLL,KBOS,34
3,KFLL,KBUF,7
3,KFLL,KCLE,3
3,KFLL,KDCA,35
3,KFLL,KEWR,35
3,KFLL,KFLL,6
3,KFLL,KJFK,44
3,KFLL,KLAS,11
3,KFLL,KLAX,21
3,KFLL,KLGA,24
3,KFLL,KORD,7
3,KFLL,KPHL,13
3,KFLL,KPHX,6
3,KFLL,KPVD,4
3,KFLL,KRDU,13
3,KFLL,KSAN,3
3,KFLL,KSFO,17
3,KFLL,KSLC,1
3,KIAH,KBOS,5
3,KIAH,KJFK,7
3,KJFK,KABQ,3
3,KJFK,KATL,14
3,KJFK,KAUS,4
3,KJFK,KBOS,42
3,KJFK,KBUF,21
3,KJFK,KEWR,1
3,KJFK,KFLL,43
3,KJFK,KIAH,6
3,KJFK,KJFK,41
3,KJFK,KLAS,12
3,KJFK,KLAX,46
3,KJFK,KMSP,1
3,KJFK,KOAK,4
3,KJFK,KONT,1
3,KJFK,KORD,12
3,KJFK,KPDX,4
3,KJFK,KPHX,7
3,KJFK,KRDU,12
3,KJFK,KROC,21
3,KJFK,KRSW,13
3,KJFK,KSAN,11
3,KJFK,KSEA,12
3,KJFK,KSFB,1
3,KJFK,KSFO,40
3,KJFK,KSJC,3
3,KJFK,KSMF,5
3,KJFK,KSRQ,7
3,KJFK,KTPA,20
3,KLAS,KBOS,25
3,KLAS,KCLE,1
3,KLAS,KFLL,10
3,KLAS,KJFK,23
3,KLAX,KBOS,22
3,KLAX,KBUF,3
3,KLAX,KFLL,25
3,KLAX,KJFK,61
3,KLAX,KMCO,4
3,KLGA,KBOS,37
3,KLGA,KDCA,1
3,KLGA,KFLL,26
3,KLGA,KLGA,2
3,KMCO,KBOS,1
3,KMSP,KBOS,19
3,KMSP,KONT,1
3,KOAK,KJFK,4
3,KONT,KJFK,4
3,KONT,KSAN,1
3,KORD,KBOS,27
3,KORD,KFLL,7
3,KORD,KJFK,15
3,KPDX,KJFK,5
3,KPHL,KBOS,43
3,KPHL,KFLL,11
3,KPHX,KBOS,7
3,KPHX,KFLL,7
3,KPHX,KJFK,7
3,KPIT,KBOS,6
3,KPVD,KBOS,1
3,KPVD,KFLL,4
3,KRDU,KBOS,25
3,KRDU,KFLL,12
3,KRDU,KJFK,11
3,KROC,KBOS,7
3,KROC,KJFK,21
3,KRSW,KBOS,34
3,KRSW,KDCA,12
3,KRSW,KEWR,12
3,KRSW,KFLL,1
3,KRSW,KJFK,13
3,KSAN,KBOS,18
3,KSAN,KFLL,4
3,KSAN,KJFK,11
3,KSEA,KBOS,11
3,KSEA,KJFK,12
3,KSFO,KBOS,33
3,KSFO,KFLL,16
3,KSFO,KJFK,37
3,KSJC,KJFK,4
3,KSLC,KFLL,1
3,KSLC,KJFK,1
3,KSMF,KJFK,6
3,KSRQ,KBOS,7
3,KSRQ,KJFK,7
3,KSYR,KBOS,4
3,KSYR,KJFK,4
3,KTPA,KBOS,27
3,KTPA,KEWR,13
3,KTPA,KJFK,21
4,KABQ,KJFK,4
4,KATL,KBOS,29
4,KATL,KFLL,13
4,KATL,KJFK,13
4,KATL,KMCO,1
4,KAUS,KBOS,11
4,KAUS,KFLL,6
4,KAUS,KJFK,13
4,KBDL,KRSW,1
4,KBNA,KBOS,9
4,KBNA,KFLL,6
4,KBOS,KATL,28
4,KBOS,KAUS,4
4,KBOS,KBFI,1
4,KBOS,KBNA,9
4,KBOS,KBOS,19
4,KBOS,KBUF,15
4,KBOS,KBWI,23
4,KBOS,KCLE,6
4,KBOS,KCLT,11
4,KBOS,KDCA,92
4,KBOS,KDEN,3
4,KBOS,KDFW,12
4,KBOS,KDTW,14
4,KBOS,KEWR,48
4,KBOS,KFLL,31
4,KBOS,KIAH,6
4,KBOS,KJFK,40
4,KBOS,KLAS,17
4,KBOS,KLAX,25
4,KBOS,KLGA,37
4,KBOS,KMCO,2
4,KBOS,KMSP,15
4,KBOS,KORD,26
4,KBOS,KPHL,47
4,KBOS,KPHX,5
4,KBOS,KPIT,2
4,KBOS,KRDU,30
4,KBOS,KROC,7
4,KBOS,KRSW,34
4,KBOS,KSAN,16
4,KBOS,KSEA,12
4,KBOS,KSFO,30
4,KBOS,KSRQ,7
4,KBOS,KTPA,27
4,KBUF,KBOS,20
4,KBUF,KFLL,7
4,KBUF,KJFK,32
4,KBUF,KLAX,1
4,KBWI,KBOS,26
4,KCLE,KBOS,20
4,KCLE,KFLL,7
4,KCLT,KBOS,22
4,KDCA,KBOS,94
4,KDCA,KDCA,3
4,KDCA,KFLL,37
4,KDCA,KLGA,1
4,KDCA,KRSW,14
4,KDEN,KBOS,12
4,KDEN,KJFK,8
4,KDFW,KBOS,12
4,KDTW,KBOS,10
4,KEWR,KBOS,48
4,KEWR,KFLL,34
4,KEWR,KJFK,1
4,KEWR,KLGA,1
4,KEWR,KMCO,2
4,KEWR,KRSW,11
4,KEWR,KTPA,14
4,KFLL,KATL,14
4,KFLL,KAUS,3
4,KFLL,KBNA,7
4,KFLL,KBOS,33
4,KFLL,KBUF,7
4,KFLL,KCLE,6
4,KFLL,KDCA,37
4,KFLL,KEWR,39
4,KFLL,KFLL,4
4,KFLL,KJFK,48
4,KFLL,KLAS,10
4,KFLL,KLAX,26
4,KFLL,KLGA,26
4,KFLL,KORD,7
4,KFLL,KPHL,13
4,KFLL,KPHX,7
4,KFLL,KPVD,7
4,KFLL,KRDU,14
4,KFLL,KSAN,4
4,KFLL,KSFO,18
4,KFLL,KSLC,1
4,KIAH,KBOS,5
4,KIAH,KJFK,7
4,KJFK,KABQ,4
4,KJFK,KATL,14
4,KJFK,KAUS,8
4,KJFK,KBFI,1
4,KJFK,KBOS,41
4,KJFK,KBUF,27
4,KJFK,KDEN,2
4,KJFK,KEWR,3
4,KJFK,KFLL,42
4,KJFK,KIAH,6
4,KJFK,KJFK,38
4,KJFK,KLAS,13
4,KJFK,KLAX,48
4,KJFK,KMCO,2
4,KJFK,KOAK,4
4,KJFK,KONT,1
4,KJFK,KORD,14
4,KJFK,KPDX,4
4,KJFK,KPHX,7
4,KJFK,KRDU,13
4,KJFK,KROC,21
4,KJFK,KRSW,13
4,KJFK,KSAN,11
4,KJFK,KSEA,10
4,KJFK,KSFB,1
4,KJFK,KSFO,45
4,KJFK,KSJC,4
4,KJFK,KSMF,5
4,KJFK,KSRQ,6
4,KJFK,KTPA,21
4,KLAS,KBOS,26
4,KLAS,KFLL,11
4,KLAS,KJFK,19
4,KLAX,KBOS,24
4,KLAX,KBUF,4
4,KLAX,KFLL,24
4,KLAX,KJFK,59
4,KLGA,KBOS,36
4,KLGA,KDCA,2
4,KLGA,KFLL,28
4,KLGA,KLGA,2
4,KLGA,KMCO,3
4,KMCO,KBOS,1
4,KMCO,KEWR,1
4,KMSP,KBOS,19
4,KOAK,KJFK,4
4,KONT,KJFK,4
4,KORD,KBOS,28
4,KORD,KFLL,6
4,KORD,KJFK,12
4,KPDX,KJFK,4
4,KPHL,KBOS,46
4,KPHL,KFLL,12
4,KPHX,KBOS,7
4,KPHX,KFLL,7
4,KPHX,KJFK,7
4,KPIT,KBOS,10
4,KPVD,KFLL,7
4,KPVD,KMCO,1
4,KRDU,KBOS,26
4,KRDU,KDCA,1
4,KRDU,KFLL,11
4,KRDU,KJFK,13
4,KROC,KBOS,7
4,KROC,KJFK,21
4,KRSW,KBOS,34
4,KRSW,KDCA,11
4,KRSW,KEWR,13
4,KRSW,KJFK,13
4,KSAN,KBOS,19
4,KSAN,KFLL,4
4,KSAN,KJFK,12
4,KSEA,KBOS,12
4,KSEA,KJFK,12
4,KSFO,KBOS,30
4,KSFO,KFLL,17
4,KSFO,KJFK,42
4,KSJC,KJFK,4
4,KSMF,KJFK,5
4,KSRQ,KBOS,6
4,KSRQ,KJFK,7
4,KSYR,KBOS,5
4,KSYR,KJFK,6
4,KSYR,KMCO,1
4,KTPA,KBOS,27
4,KTPA,KEWR,13
4,KTPA,KJFK,20
5,KABQ,KJFK,4
5,KATL,KBOS,30
5,KATL,KFLL,12
5,KATL,KJFK,14
5,KATL,KMCO,1
5,KATL,KSFB,1
5,KAUS,KBOS,12
5,KAUS,KFLL,6
5,KAUS,KJFK,11
5,KAUS,KMCO,2
5,KBDL,KRSW,1
5,KBNA,KBOS,7
5,KBNA,KFLL,7
5,KBOS,KATL,29
5,KBOS,KAUS,4
5,KBOS,KBNA,7
5,KBOS,KBOS,18
5,KBOS,KBUF,9
5,KBOS,KBWI,26
5,KBOS,KCLE,9
5,KBOS,KCLT,27
5,KBOS,KDCA,95
5,KBOS,KDEN,6
5,KBOS,KDFW,12
5,KBOS,KDTW,17
5,KBOS,KEWR,51
5,KBOS,KFLL,31
5,KBOS,KIAH,7
5,KBOS,KJFK,40
5,KBOS,KLAS,16
5,KBOS,KLAX,25
5,KBOS,KLGA,36
5,KBOS,KMCO,5
5,KBOS,KMSP,16
5,KBOS,KORD,28
5,KBOS,KPHL,51
5,KBOS,KPHX,6
5,KBOS,KPIT,1
5,KBOS,KRDU,31
5,KBOS,KROC,6
5,KBOS,KRSW,34
5,KBOS,KSAN,18
5,KBOS,KSEA,13
5,KBOS,KSFB,1
5,KBOS,KSFO,30
5,KBOS,KSRQ,7
5,KBOS,KTPA,26
5,KBUF,KBOS,19
5,KBUF,KFLL,6
5,KBUF,KJFK,31
5,KBUF,KLAX,2
5,KBUF,KMCO,1
5,KBWI,KBOS,26
5,KCLE,KBOS,21
5,KCLE,KFLL,7
5,KCLT,KBOS,23
5,KDCA,KBOS,96
5,KDCA,KFLL,33
5,KDCA,KRSW,11
5,KDEN,KBOS,12
5,KDEN,KJFK,7
5,KDFW,KBOS,12
5,KDTW,KBOS,20
5,KEWR,KBOS,49
5,KEWR,KEWR,1
5,KEWR,KFLL,32
5,KEWR,KJFK,2
5,KEWR,KMCO,11
5,KEWR,KRSW,13
5,KEWR,KSFB,1
5,KEWR,KTPA,14
5,KFLL,KATL,14
5,KFLL,KAUS,1
5,KFLL,KBNA,7
5,KFLL,KBOS,36
5,KFLL,KBUF,5
5,KFLL,KCLE,4
5,KFLL,KDCA,39
5,KFLL,KEWR,39
5,KFLL,KFLL,6
5,KFLL,KJFK,55
5,KFLL,KLAS,12
5,KFLL,KLAX,26
5,KFLL,KLGA,26
5,KFLL,KOAK,1
5,KFLL,KORD,7
5,KFLL,KPHL,13
5,KFLL,KPHX,7
5,KFLL,KPVD,6
5,KFLL,KRDU,14
5,KFLL,KSAN,3
5,KFLL,KSFO,17
5,KFLL,KSLC,2
5,KFLL,KSRQ,1
5,KIAH,KBOS,5
5,KIAH,KJFK,7
5,KJFK,KABQ,3
5,KJFK,KATL,14
5,KJFK,KAUS,4
5,KJFK,KBOS,42
5,KJFK,KBUF,16
5,KJFK,KDEN,3
5,KJFK,KEWR,1
5,KJFK,KFLL,55
5,KJFK,KIAH,7
5,KJFK,KJFK,35
